2026-08-06 08:29:18,507 | INFO | app.scrapers.winning_form_scraper | runner_table_used columns={'number': 0, 'name': 1, 'length_behind': 2, 'speed_index': 3, 'predicted_time': 4, 'merit': 5, 'weight': 6, 'draw': 7, 'jockey': 9, 'trainer': 10, 'previous_run': 12, 'time': 17} extracted=11 stated=11
2026-08-06 08:29:18,507 | INFO | app.scrapers.winning_form_scraper | race_parsed url=https://legacy.winningform.co.za/KZN/2D260807_8.htm venue=Hollywoodbets Greyville date=2026-08-07 race=8 stated=11 parsed=11
2026-08-06 08:29:18,507 | INFO | app.scrapers.winning_form_scraper | horse_names=['Next Of Kin', 'Mvelelo', "Tam's Knight", 'Mar Del Plata', 'Tobacconist', 'Blue Steel', 'Phutulicious', 'War Emperor', 'My Boy Lollipop', 'Steamy Windows', 'Zagreb']
2026-08-06 08:29:18,688 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za/ECP/2F260807_1.htm "HTTP/1.1 200 OK"
2026-08-06 08:29:18,745 | INFO | app.scrapers.winning_form_scraper | runner_table_used columns={'number': 0, 'name': 1, 'length_behind': 2, 'speed_index': 3, 'predicted_time': 4, 'merit': 5, 'weight': 6, 'draw': 7, 'jockey': 9, 'trainer': 10, 'previous_run': 12, 'time': 17} extracted=10 stated=10
2026-08-06 08:29:18,745 | INFO | app.scrapers.winning_form_scraper | race_parsed url=https://legacy.winningform.co.za/ECP/2F260807_1.htm venue=Fairview date=2026-08-07 race=1 stated=10 parsed=10
2026-08-06 08:29:18,745 | INFO | app.scrapers.winning_form_scraper | horse_names=['Good Shine', 'Green Point', 'Crimson Clover', 'Takemetothemoon', 'Norse Warrior', 'Stone Of Scone', 'J Lordi', 'Blue Dame', 'Storm Burst', 'Golden Fifties']
2026-08-06 08:29:18,883 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za/ECP/2F260807_2.htm "HTTP/1.1 200 OK"
2026-08-06 08:29:18,937 | INFO | app.scrapers.winning_form_scraper | runner_table_used columns={'number': 0, 'name': 1, 'length_behind': 2, 'speed_index': 3, 'predicted_time': 4, 'merit': 5, 'weight': 6, 'draw': 7, 'jockey': 9, 'trainer': 10, 'previous_run': 12, 'time': 17} extracted=10 stated=10
2026-08-06 08:29:18,938 | INFO | app.scrapers.winning_form_scraper | race_parsed url=https://legacy.winningform.co.za/ECP/2F260807_2.htm venue=Fairview date=2026-08-07 race=2 stated=10 parsed=10
2026-08-06 08:29:18,938 | INFO | app.scrapers.winning_form_scraper | horse_names=['Touch The Sword', 'Caughtubysurprise', 'Fonte', 'Kim Kay', 'Jewel Mule', 'Redlight Lane', 'Harpa', 'World Of Diamonds', 'Without Hesitation', 'Gallic Greeting']
2026-08-06 08:29:19,094 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za/ECP/2F260807_3.htm "HTTP/1.1 200 OK"
2026-08-06 08:29:19,209 | INFO | app.scrapers.winning_form_scraper | runner_table_used columns={'number': 0, 'name': 1, 'length_behind': 2, 'speed_index': 3, 'predicted_time': 4, 'merit': 5, 'weight': 6, 'draw': 7, 'jockey': 9, 'trainer': 10, 'previous_run': 12, 'time': 17} extracted=9 stated=9
